"Country","DensidadPob","PobUrbana","PobRural","CrecimientoPobUrb"
"Guinea Ecuatorial",46.6657397504456,72.143,27.857,4.34581444152726
"Guyana",3.95734823469647,26.606,73.394,0.742878546557036
"Haití",403.59854862119,55.278,44.722,2.97438496504292
"Honduras",85.6870319063366,57.096,42.904,2.79258669978111
"Hong Kong, Región Administrativa Especial",7096.19047619048,100,0,0.799050247136158
"Hungría",107.981486799956,71.351,28.649,0.279085901553299
"India",454.938072575247,34.03,65.97,2.30896547809895
"Indonesia",147.75219008926,55.325,44.675,2.34486951482515
"Ingreso alto",34.7828915938853,80.8599477138482,19.1400522861518,0.674613470412027
"Ingreso mediano",71.8641486028969,52.3075008774737,47.6924991225263,2.21581828659664
"Ingreso mediano alto",49.3167042229663,65.5735403032962,34.4264596967038,1.94520262399168
"Ingreso mediano y bajo",69.1712662558264,50.3192883292259,49.6807116707742,2.32512073031262
"inicial del dividendo demográfico",98.111144728063,45.1296006973606,54.8703993026394,2.2214207639651
"Irán, República Islámica del",50.222420123284,74.898,25.102,2.06166855372816
"Iraq",88.5305700354617,70.473,29.527,2.59555117050786
"Irlanda",70.6534475250399,63.17,36.83,1.5925156797727
"Isla de Man",147.50350877193,52.588,47.412,0.817554628660754
"Isla de San Martín (parte francesa)",NA,NA,NA,NA
"Islandia",3.51841396508728,93.813,6.187,2.72089370362867
"Islas Caimán",267.391666666667,100,0,1.2418234783193
"Islas del Canal",861.106093786457,30.914,69.086,1.08156592284642
"Islas Feroe",34.7399698278226,42.064,57.936,0.703448801850133
"Islas Marshall",324.516666666667,77.031,22.969,1.12641992007965
"Islas Salomón",23.324687388353,23.749,76.251,4.57865593914816
"Islas Turcas y Caicos",39.6473684210526,93.098,6.902,1.77235125267118
"Islas Vírgenes (EE.UU.)",305.648571428571,95.721,4.279,-0.148328887893162
"Islas Vírgenes Británicas",198.68,47.723,52.277,1.5661305825538
"Israel",410.480591497227,92.418,7.58199999999999,2.01538441058595
